Klasse,Nachname,Vorname,Projekt zugeteilt,Projekt1,Projekt2,Projekt3,Projekt4
09b,Name672,Vorname672,X2,k,k,k,k
09b,Name673,Vorname673,X2,k,k,k,k
09b,Name674,Vorname674,X2,k,k,k,k
09b,Name675,Vorname675,X2,k,k,k,k
09b,Name676,Vorname676,X2,k,k,k,k
09b,Name677,Vorname677,X2,k,k,k,k
09b,Name678,Vorname678,X2,k,k,k,k
09b,Name679,Vorname679,X2,k,k,k,k
09b,Name680,Vorname680,X2,k,k,k,k
09b,Name681,Vorname681,X2,k,k,k,k
09b,Name682,Vorname682,X2,k,k,k,k
09c,Name154,Vorname154,9,21,9,7,28
09c,Name196,Vorname196,12,23,30,41,12
09c,Name247,Vorname247,17,30,17,32,12
09c,Name248,Vorname248,17,30,17,23,12
09c,Name270,Vorname270,19,19,41,7,21
09c,Name271,Vorname271,19,19,41,7,30
09c,Name272,Vorname272,19,19,41,7,30
09c,Name273,Vorname273,19,19,41,7,30
09c,Name389,Vorname389,28,28,8,23,f
09c,Name390,Vorname390,28,28,f,23,f
09c,Name392,Vorname392,28,23,28,41,30
09c,Name402,Vorname402,30,30,23,41,22
09c,Name403,Vorname403,30,30,23,41,22
09c,Name404,Vorname404,30,30,23,41,22
09c,Name405,Vorname405,30,30,23,41,22
09c,Name406,Vorname406,30,30,23,41,22
09c,Name683,Vorname683,X2,k,k,k,k
09c,Name684,Vorname684,X2,k,k,k,k
09c,Name685,Vorname685,X2,k,k,k,k
09c,Name686,Vorname686,X2,k,k,k,k
09c,Name687,Vorname687,X2,k,k,k,k
09c,Name688,Vorname688,X2,k,k,k,k
09c,Name689,Vorname689,X2,k,k,k,k
09c,Name690,Vorname690,X2,k,k,k,k
09c,Name691,Vorname691,X2,k,k,k,k
09c,Name692,Vorname692,X2,k,k,k,k
09c,Name693,Vorname693,X2,k,k,k,k
09c,Name694,Vorname694,X2,k,k,k,k
10,Name009,Vorname009,1,1,16,23,8
10,Name010,Vorname010,1,30,1,41,23
10,Name011,Vorname011,1,1,16,23,15
10,Name012,Vorname012,1,1,5,41,8
10,Name013,Vorname013,1,1,23,8,16
10,Name014,Vorname014,1,1,16,23,8
10,Name015,Vorname015,1,23,1,30,37
10,Name016,Vorname016,1,30,1,15,23
10,Name017,Vorname017,1,30,40,1,5
10,Name062,Vorname062,5,42,5,23,7
10,Name063,Vorname063,5,5,23,42,18
10,Name064,Vorname064,5,5,23,7,41
10,Name065,Vorname065,5,5,23,7,41
10,Name066,Vorname066,5,5,23,7,41
10,Name067,Vorname067,5,5,30,41,7
10,Name068,Vorname068,5,5,30,41,7
10,Name069,Vorname069,5,5,41,7,30
10,Name116,Vorname116,7,41,7,28,22
10,Name117,Vorname117,7,15,38,7,f
10,Name118,Vorname118,7,7,13,28,23
10,Name125,Vorname125,8,7,8,28,f
10,Name126,Vorname126,8,18,2,23,8
10,Name127,Vorname127,8,39,28,8,26
10,Name165,Vorname165,10,10,18,23,41
10,Name197,Vorname197,12,41,30,15,12
10,Name207,Vorname207,13,42,18,7,13
10,Name208,Vorname208,13,42,18,23,13
10,Name209,Vorname209,13,42,18,7,13
10,Name210,Vorname210,13,13,23,18,42
10,Name233,Vorname233,15,15,41,23,12
10,Name234,Vorname234,15,15,31,30,12
10,Name235,Vorname235,15,15,23,18,16
10,Name236,Vorname236,15,15,31,12,37
10,Name237,Vorname237,15,16,15,23,18
