Klasse, Name, Vorname, Projekt Nr., Wunsch
09a,Name225,Vorname225,16,2
09a,Name227,Vorname227,15,1
09a,Name228,Vorname228,15,2
09a,Name229,Vorname229,16,2
09a,Name230,Vorname230,15,2
09a,Name231,Vorname231,12,3
09a,Name245,Vorname245,null,null
09a,Name246,Vorname246,null,null
09a,Name445,Vorname445,1,3
09a,Name446,Vorname446,29,4
09b,Name059,Vorname059,5,3
09b,Name060,Vorname060,21,2
09b,Name061,Vorname061,28,1
09b,Name124,Vorname124,8,3
09b,Name153,Vorname153,9,2
09b,Name206,Vorname206,13,1
09b,Name232,Vorname232,15,1
09b,Name383,Vorname383,33,4
09b,Name384,Vorname384,28,1
09b,Name385,Vorname385,28,1
09b,Name386,Vorname386,21,2
09b,Name387,Vorname387,28,1
09c,Name154,Vorname154,21,1
09c,Name196,Vorname196,12,4
09c,Name247,Vorname247,17,2
09c,Name248,Vorname248,17,2
09c,Name270,Vorname270,19,1
09c,Name271,Vorname271,19,1
09c,Name272,Vorname272,19,1
09c,Name273,Vorname273,19,1
09c,Name392,Vorname392,23,1
09c,Name402,Vorname402,30,1
09c,Name403,Vorname403,30,1
09c,Name404,Vorname404,30,1
09c,Name405,Vorname405,30,1
09c,Name406,Vorname406,30,1
10,Name009,Vorname009,1,1
10,Name010,Vorname010,1,2
10,Name011,Vorname011,1,1
10,Name012,Vorname012,1,1
10,Name013,Vorname013,1,1
10,Name014,Vorname014,1,1
10,Name015,Vorname015,1,2
10,Name016,Vorname016,1,2
10,Name017,Vorname017,1,3
10,Name062,Vorname062,5,2
10,Name063,Vorname063,5,1
10,Name064,Vorname064,5,1
10,Name065,Vorname065,5,1
10,Name066,Vorname066,5,1
10,Name067,Vorname067,30,2
10,Name068,Vorname068,5,1
10,Name069,Vorname069,5,1
10,Name116,Vorname116,7,2
10,Name118,Vorname118,13,2
10,Name126,Vorname126,8,4
10,Name127,Vorname127,39,1
10,Name165,Vorname165,10,1
10,Name197,Vorname197,12,4
10,Name207,Vorname207,13,4
10,Name208,Vorname208,42,1
10,Name209,Vorname209,13,4
10,Name210,Vorname210,13,1
10,Name233,Vorname233,12,4
10,Name234,Vorname234,31,2
10,Name235,Vorname235,16,4
10,Name236,Vorname236,31,2
10,Name237,Vorname237,16,1
10,Name257,Vorname257,18,4
10,Name259,Vorname259,18,1
10,Name260,Vorname260,37,3
10,Name261,Vorname261,18,4
10,Name262,Vorname262,18,4
10,Name263,Vorname263,18,4
10,Name274,Vorname274,19,3
10,Name284,Vorname284,20,1
10,Name285,Vorname285,20,1
10,Name286,Vorname286,20,2
10,Name307,Vorname307,22,3
10,Name308,Vorname308,30,1
10,Name309,Vorname309,31,2
10,Name391,Vorname391,37,4
10,Name407,Vorname407,17,4
10,Name408,Vorname408,30,1
10,Name409,Vorname409,32,2
10,Name410,Vorname410,29,3
10,Name411,Vorname411,17,4
10,Name412,Vorname412,19,3
10,Name414,Vorname414,37,3
10,Name415,Vorname415,32,2
10,Name416,Vorname416,30,1
10,Name417,Vorname417,29,3
10,Name418,Vorname418,33,3
10,Name419,Vorname419,30,1
10,Name420,Vorname420,30,1
10,Name421,Vorname421,30,1
10,Name422,Vorname422,30,1
10,Name447,Vorname447,32,1
10,Name448,Vorname448,17,3
10,Name489,Vorname489,37,2
10,Name491,Vorname491,37,2
10,Name492,Vorname492,37,1
10,Name493,Vorname493,37,2
10,Name494,Vorname494,37,1
10,Name509,Vorname509,39,1
10,Name510,Vorname510,39,1
10,Name538,Vorname538,42,2
10,Name543,Vorname543,5,2
10,Name544,Vorname544,7,2
10,Name545,Vorname545,null,null
10,Name546,Vorname546,42,1
10,Name547,Vorname547,42,1
10,Name548,Vorname548,null,null
10,Name549,Vorname549,42,1
10,Name550,Vorname550,42,1
10,Name551,Vorname551,5,2
10,Name552,Vorname552,null,null
10,Name553,Vorname553,null,null
10,Name554,Vorname554,null,null
10,Name569,Vorname569,43,1
10,Name570,Vorname570,43,1
10,Name571,Vorname571,43,1
11,Name018,Vorname018,1,1
11,Name070,Vorname070,5,1
11,Name071,Vorname071,7,3
11,Name072,Vorname072,7,3
11,Name073,Vorname073,5,1
11,Name075,Vorname075,7,3
11,Name119,Vorname119,42,2
11,Name156,Vorname156,9,2
11,Name157,Vorname157,9,2
11,Name198,Vorname198,12,1
11,Name199,Vorname199,12,1
11,Name238,Vorname238,29,1
11,Name239,Vorname239,15,1
11,Name240,Vorname240,15,1
11,Name241,Vorname241,20,4
11,Name242,Vorname242,19,3
11,Name249,Vorname249,17,3
11,Name250,Vorname250,17,3
11,Name251,Vorname251,15,2
11,Name252,Vorname252,17,3
11,Name267,Vorname267,18,2
11,Name269,Vorname269,42,1
11,Name275,Vorname275,19,1
11,Name287,Vorname287,20,1
11,Name288,Vorname288,20,1
11,Name310,Vorname310,31,2
11,Name311,Vorname311,31,2
11,Name312,Vorname312,31,3
11,Name313,Vorname313,31,3
11,Name314,Vorname314,22,4
11,Name464,Vorname464,34,2
11,Name466,Vorname466,34,1
11,Name467,Vorname467,34,1
11,Name468,Vorname468,34,1
11,Name495,Vorname495,37,1
11,Name497,Vorname497,37,2
11,Name498,Vorname498,19,1
11,Name499,Vorname499,37,2
11,Name511,Vorname511,39,2
11,Name513,Vorname513,39,1
11,Name516,Vorname516,39,1
11,Name517,Vorname517,39,1
11,Name540,Vorname540,42,3
11,Name541,Vorname541,30,2
11,Name542,Vorname542,20,2
11,Name555,Vorname555,42,1
11,Name556,Vorname556,42,1
11,Name557,Vorname557,42,1
11,Name558,Vorname558,42,1
11,Name559,Vorname559,42,1
11,Name560,Vorname560,42,1
11,Name561,Vorname561,42,1
11,Name562,Vorname562,42,1
11,Name563,Vorname563,null,null
11,Name564,Vorname564,5,2
11,Name565,Vorname565,42,1
11,Name566,Vorname566,7,2
11,Name567,Vorname567,42,1
11,Name568,Vorname568,7,2
11,Name572,Vorname572,43,1
